#
#
# US Geological Survey
# retrieved: 2023-09-25 10:15:24 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2023-09-25 10:15:24 EDT
#
# there are 684 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
USGS	05429650	LAKE KEGONSA OUTLET NEAR STOUGHTON, WI
USGS	05430041	MADISON METRO SEWERAGE DITCH NEAR MADISON, WI
USGS	05435910	SUGAR RIVER AT RILEY, WI
USGS	05435929	MORSE POND NEAR VERONA, WI
USGS	054359295	BADGER MILL CREEK AT RAYMOND ROAD AT MADISON, WI
USGS	05435931	WALTHAM PARK GUTTER FLOW ISCO AT MADISON, WI
USGS	054359311	WALTHAM PARK GUTTER FLOW SHEET AT MADISON, WI
USGS	054359315	BADGER MILL CR TRIB @ CANTERBURY ROAD @ MADISON,WI
USGS	05435934	BADGER MILL CREEK AT NESBITT ROAD AT MADISON, WI
USGS	05435935	BADGER MILL CREEK @ HIGHWAYS 18 & 151 @ MADISON,WI
USGS	05435936	Badger Mill Creek near Verona, CTY-H PB
USGS	054359365	Spring to Badger Mill Cr DS of CHY-PB nr Verona,WI
USGS	05435938	Bager Mill Cr at Cty Hosp. outfall at Verona, WI
USGS	05435943	BADGER MILL CREEK AT VERONA, WI
USGS	0543594301	YSI 600xl at QW Station No. 1
USGS	0543594302	InSitu 9500 at QW Station No. 2
USGS	0543594303	Insitu 200 at QW Station No. 3
USGS	0543594304	Hydrolab at QW Station No. 4
USGS	0543594305	YSI 6600 EDS at QW Station No. 5
USGS	05435945	BADGER MILL CREEK NEAR VERONA, WI
USGS	05435948	SUGAR RIVER AT RIVERSIDE ROAD NEAR VERONA, WI
USGS	425726089170001	DN-06/10E/26-0994
USGS	425727089170101	DN-06/10E/26-0982
USGS	425727089242401	DN-06/09E/35-1113
USGS	425738089172201	DN-06/10E/27-0965
USGS	425738089232501	DN-06/09E/26-0931
USGS	425742089205001	DN-06/10E/20-1012
USGS	425744089232301	DN-06/09E/26-0122
USGS	425750089143800	LAKE KEGONSA -DEEP HOLE- NEAR STOUGHTON, WI
USGS	425752089205001	DN-06/10E/20-1013
USGS	425806089172701	DN-06/10E/22-0338
USGS	425820089164801	DN-06/10E/23-0542
USGS	425820089231001	DN-06/09E/25-1168
USGS	425823089132501	DN-06/11E/19-1172
USGS	425823089135701	DN-06/11E/19-0974
USGS	425841089260501	DN-06/09E/12-0912
USGS	425847089300201	DN-06/08E/22-1068
USGS	425856089320601	DN-06/08E/22-0316
USGS	425858089155401	DN-06/10E/13-0887
USGS	425904089254901	DN-06/09E/21-1130
USGS	425910089231001	DN-06/09E/24-1167
USGS	425922089320601	DN-06/08E/15-0082
USGS	425938089325001	DN-06/08E/16-1042
USGS	425940089305001	DN-09/10E/29-1070
USGS	425945089090001	DN-06/11E/12-1171
USGS	425946089305501	DN-06/08E/14-0030
USGS	425958089321601	DN-06/08E/15-1289
USGS	430004089381801	DN-06/07E/14-0473
USGS	430005089230001	DN-06/09E/12-1166
USGS	430007089361901	DN-06/07E/13-0463
USGS	430019089254901	DN-06/09E/09-0922
USGS	430021089233901	DN-06/09E/11-1103
USGS	430024089224001	DN-06/09E/12-0875
USGS	430027089112501	DN-07/11E/33-0897
USGS	430031089353101	DN-06/08E/07-0453
USGS	430032089310501	DN-06/09E/07-0202
USGS	430035089100101	DN-06/11E/02-1102
USGS	430038089372001	DN-06/07E/11-0465
USGS	430041089282001	DN-06/09E/07-0203
USGS	430045089243901	DN-06/09E/10-1044
USGS	430046089232601	DN-06/09E/11-1089
USGS	430048089181101	DN-06/10E/03-0013
USGS	430053089244201	DN-06/09E/10-1052
USGS	430055089242701	DN-06/09E/10-1045
USGS	430055089245601	DN-06/09E/10-1049
USGS	430057089245901	DN-06/09E/10-1048
USGS	430058089142501	DN-06/11E/06-0899
USGS	430058089251401	DN-06/09E/04-0981
USGS	430059089251301	DN-06/09E/03-0097
USGS	430059089321401	MORSE POND SOUTHWEST INLET NEAR VERONA, WI
USGS	430100089170002	DN-07/10E/34-1138
USGS	430100089242101	DN-06/09E/03-1129
USGS	430100089320601	MORSE POND SOUTH INLET NEAR VERONA, WI
USGS	430101089301901	TEMPE DR STORM SEWER AT MADISON, WI
USGS	430102089242201	DN-06/09E/03-1043
USGS	430102089242202	DN-06/09E/03-1086
USGS	430102089252000	HATCHERY HILL STORM SEWER AT FITCHBURG, WI
USGS	430104089215401	DN-07/10E/34-0312
USGS	430104089250401	DN-06/09E/03-0127
USGS	430104089280201	DN-06/09E/06-0936
USGS	430106089315901	MORSE POND EAST INLET NEAR VERONA, WI
USGS	430108089242301	DN-06/09E/03-1050
USGS	430108089352701	DN-06/08E/06-0002SP
USGS	430109089242401	DN-06/09E/03-1051
USGS	430110089280004	DN-06/09E/05-1066
USGS	430113089320101	MORSE POND INLET NEAR VERONA, WI
USGS	430115089291301	DN-06/08E/01-1060
USGS	430115089291801	DN-06/08E/01-0898
USGS	430117089272501	DN-06/09E/05-0843
USGS	430117089320701	MORSE POND NORTHWEST INLET NEAR VERONA, WI
USGS	430119089220001	DN-06/09E/01-0699
USGS	430119089242201	DN-06/09E/03-0134
USGS	430124089263801	DN-06/09E/04-0876
USGS	430124089290201	WILLIAMSBURG WAY STORM SEWER AT MADISON, WI
USGS	430134089342501	DN-06/08E/05-0305
USGS	430135089270501	DN-06/09E/05-0954
USGS	430136089274301	DN-06/09E/05-0882
USGS	430137089140501	DN-07/11E/31-0932
USGS	430140089281000	KRONCKE DRIVE STORM SEWER AT MADISON, WI
USGS	430143089274401	DN-06/09E/05-0866
USGS	430143089342701	DN-06/08E/05-0306
USGS	430147089232801	DN-06/09E/02-0724
USGS	430147089232802	DN-06/09E/02-0723
USGS	430150089302201	DN-07/08E/35-0263
USGS	430157089180601	DN-07/10E/34-0695
USGS	430157089274701	DN-07/09E/32-0094
USGS	430158089181501	DN-07/10E/34-0111
USGS	430159089152601	DN-07/10E/36-0987
USGS	430200089260001	ARBORETUM - UNIV OF WIS AT MADISON, WIS.05429040
USGS	430200089270000	LAKE WINGRA COMBINED LAWN SAMPLERS AT MADISON, WI
USGS	430201089153301	DN-07/10E/36-0812
USGS	430201089212601	DN-07/10E/30-0121
USGS	430202089315500	CT HIGHWAY M RAIN GAGE NR MIDTOWN RD @ MADISON, WI
USGS	430208089131401	DN-07/11E/32-0350
USGS	430208089181101	DN-07/10E/27-0108
USGS	430208089181201	DN-07/10E/27-0845
USGS	430208089345201	DN-07/08E/32-0090
USGS	430209089274900	KNOX LANE STORM SEWER AT MADISON, WI
USGS	430209089345401	DN-07/08E/32-0309
USGS	430209089345701	DN-07/08E/31-0844
USGS	430210089252001	DN-07/09E/34-1181
USGS	430211089145701	DN-07/10E/25-0988
USGS	430211089252601	UW ARBORETUM STORM SEWER AT MADISON, WI
USGS	430212089252511	SYENE-HIGH TRAFFIC AT MADISON, WI
USGS	430213089252715	SYENE-FLAT ROOF AT MADISON, WI
USGS	430213089252909	SYENE-PLAZA PARKING LOT AT MADISON, WI
USGS	430213089295201	DN-07/08E/36-0092
USGS	430214089150201	DN-07/10E/25-0986
USGS	430214089251809	SYENE-POPCORN PARKING LOT AT MADISON, WI
USGS	430215089145401	DN-07/10E/25-0985
USGS	430215089245312	SYENE-LOW TRAFFIC AT MADISON, WI
USGS	430215089265001	DN-07/09E/32-0096
USGS	430215089272701	DN-07/09E/32-0037
USGS	430217089175301	DN-07/10E/27-0697
USGS	430220089175301	DN-07/10E/27-0879
USGS	430220089221401	DN-07/09E/36-0701
USGS	430220089251909	SYENE-INDUSTRIAL PARK AT MADISON, WI
USGS	430221089234801	DN-07/09E/35-0126
USGS	430222089221101	DN-07/09E/36-0696
USGS	430222089221501	DN-07/09E/36-0700
USGS	430223089175301	DN-07/10E/27-0939
USGS	430224089175401	DN-07/10E/27-0885
USGS	430224089300000	GAMMON ROAD RAIN GAGE NEAR LANDFILL AT MADISON, WI
USGS	430226089281900	WHITCOMB DRIVE RAIN GAGE AT MADISON, WI
USGS	430228089181001	DN-07/10E/27-0896
USGS	430230089181801	DN-07/10E/27-0846
USGS	430230089204000	BELTLINE RUNOFF SAMPLER AT MADISON, WI
USGS	430230089284300	PIPING ROCK ROAD STORM SEWER AT MADISON, WI
USGS	430231089152701	DN-07/10E/25-0929
USGS	430231089254301	DN-07/09E/33-0062
USGS	430232089153401	DN-07/10E/25-0945
USGS	430232089153402	DN-07/10E/25-0933
USGS	430234089331201	DN-07/08E/33-1057
USGS	430235089153001	DN-07/10E/25-0917
USGS	430237089245401	DN-07/09E/34-0984
USGS	430238089331001	DN-07/08E/33-1056
USGS	430239089245301	DN-07/09E/34-0043
USGS	430239089331801	DN-07/08E/33-1059
USGS	430240089161301	DN-07/10E/26-0928
USGS	430240089233601	DN-07/09E/35-0952
USGS	430240089233602	DN-07/09E/35-0961
USGS	430241089331501	DN-07/08E/33-1058
USGS	430242089153601	DN-07/10E/25-1041
USGS	430242089295701	DN-07/08E/36-0091
USGS	430242089331001	DN-07/08E/33-1055
USGS	430243089352001	DN-07/08E/31-0841
USGS	430244089214401	DN-07/10E/30-0958
USGS	430245089260401	DN-07/09E/33-1005
USGS	430249089160401	DN-07/10E/26-0895
USGS	430249089271601	DN-07/09E/29-0135
USGS	430249089282002	DN-07/09E/30-0137
USGS	430250089282101	DN-07/09E/30-0144
USGS	430251089313001	DN-07/08E/27-0964
USGS	430252089165201	DN-07/10E/26-1182
USGS	430252089253001	DN-07/09E/28-0012SP
USGS	430252089253901	DN-07/09E/28-0005SP
USGS	430252089262201	CHEROKEE DR STORM SEWER AT MADISON, WI
USGS	430256089261600	NAKOMA ROAD PAH GRAB SAMPLE SITE AT MADISON, WI
USGS	430259089272901	HILLTOP DR STORM SEWER AT MADISON, WI
USGS	430301089261201	DN-07/09E/28-0006SP
USGS	430301089261405	MONROE-FR2 BACTERIA AT MADISON, WI
USGS	430302089224101	JOHN NOLEN DRIVE STORM SEWER AT MADISON, WI
USGS	430302089260811	MONROE-MONROE STREET AT MADISON, WI
USGS	430303089312301	DN-07/08E/27-0913
USGS	430304089264302	MONROE-TOKAY BOULEVARD AT MADISON, WI
USGS	430304089264303	MONROE-STORM SEWER AT MADISON, WI
USGS	430304089265304	MONROE-R5 BACTERIA AT MADISON, WI
USGS	430304089312301	DN-07/08E/27-1065
USGS	430305089195501	DN-07/10E/20-0300
USGS	430305089222101	DN-07/09E/25-0080
USGS	430305089260600	WEST MANHOLE MONROE POND AT MADISON, WI
USGS	430305089260601	WEST MANHOLE MONROE POND SITE 3 AT MADISON, WI
USGS	430305089265314	MONROE-ALUMINUM DOWNSPOUT 2 AT MADISON, WI
USGS	430306089260915	MONROE-FLAT ROOF AT MADISON, WI
USGS	430307089260200	EAST MANHOLE MONROE POND AT MADISON, WI
USGS	430307089260201	EAST MANHOLE MONROE POND SITE 2 AT MADISON, WI
USGS	430307089260400	MONROE STREET DETENTION POND AT MADISON, WI
USGS	430307089260501	MONROE POND SITE NO. 1 AT MADISON, WI
USGS	430307089265404	MONROE-R6 BACTERIA AT MADISON, WI
USGS	430307089270419	MONROE-PARKING LOT AT MADISON, WI
USGS	430307089310801	WATTS RD STORM SEWER AT MADISON, WI
USGS	430308089263712	MONROE-LOW TRAFFIC AT MADISON, WI
USGS	430308089294301	DN-07/08E/25-1134
USGS	430309089260701	INLET AT MONROE POND AT MADISON, WI
USGS	430309089260702	INLET AT MONROE POND SITE NO. 6 AT MADISON, WI
USGS	430309089260703	INLET AT MONROE POND SITE NO. 5 AT MADISON, WI
USGS	430309089260704	INLET AT MONROE POND SITE NO. 4 AT MADISON, WI
USGS	430309089302501	WALMART WEST STORM SEWER AT MADISON, WI
USGS	430310089225401	DOWNSTREAM DEFENDER UNIT INLET AT MADISON, WI
USGS	430310089225402	DOWNSTREAM DEFENDER SYSTEM OUTLET AT MADISON, WI
USGS	430310089225403	DOWNSTREAM DEFENDER UNIT OUTLET AT MADISON, WI
USGS	430310089262901	SW COMMUTER PATH STORM SEWER AT MADISON, WI
USGS	430310089270100	MONROE STREET SHEET FLOW SAMPLERS AT MADISON, WI
USGS	430311089270204	MONROE-R1 BACTERIA AT MADISON, WI
USGS	430311089270405	MONROE-FR1 BACTERIA AT MADISON, WI
USGS	430311089272700	PIPER DRIVE RAIN GAGE AT MADISON, WI
USGS	430313089270114	MONROE-GALVANIZED DOWNSPOUT AT MADISON, WI
USGS	430314089265816	MONROE-HIGH CARE LAWNS AT MADISON, WI
USGS	430315089255201	DN-07/09E/28-0009SP
USGS	430315089265804	MONROE-R3 BACTERIA AT MADISON, WI
USGS	430315089265901	MONROE BASIN RAIN GAGE AT MADISON, WI
USGS	430315089265904	MONROE-R2 BACTERIA AT MADISON, WI
USGS	430315089310001	DN-07/08E/26-1174
USGS	430315089331901	SOUTH POINT BIOFILTER OUTLET AT MADISON, WI
USGS	430316089265117	MONROE-LOW CARE LAWNS AT MADISON, WI
USGS	430317089265212	MONROE-MIDDLE TRAFFIC AT MADISON, WI
USGS	430317089331901	SOUTH POINT BIOFILTER INLET AT MADISON, WI
USGS	430318089284101	DN-07/09E/30-0908
USGS	430319089262101	GLEN DR STORM SEWER AT MADISON, WI
USGS	430319089265318	MONROE-DRIVEWAY AT MADISON, WI
USGS	430320089264001	WESTMORLAND PARK STORM SEWER AT MADISON, WI
USGS	430320089271100	MONROE AREA RESIDENTIAL COMPOSITE AT MADISON, WI
USGS	430321089261811	MONROE-GLENWAY STREET AT MADISON, WI
USGS	430321089294301	ODANA RD STORM SEWER AT MADISON, WI
USGS	430321089360401	COYLE POND INLET @ TIMBER RD NEAR CROSS PLAINS, WI
USGS	430323089235701	DN-07/09E/24-0911
USGS	430325089254001	DN-07/09E/28-0046
USGS	430325089361601	COYLE POND AT STAFF GAGE NEAR CROSS PLAINS, WI
USGS	430327089240501	DN-07/09E/26-0035
USGS	430327089264004	MONROE-R4 BACTERIA AT MADISON, WI
USGS	430327089264914	MONROE-ALUMINUM DOWNSPOUT 1 AT MADISON, WI
USGS	430329089241501	DN-07/09E/27-1094
USGS	430329089244500	VILAS BEACH ON LAKE WINGRA AT MADISON, WI
USGS	430330089270700	GLENWAY AVENUE SHEET FLOW SAMPLERS @ MADISON, WI
USGS	430331089310601	DN-07/08E/26-0110
USGS	430333089312500	MENARDS WEST STORM SEWER AT MADISON, WI
USGS	430334089291101	DN-07/08E/25-0101
USGS	430335089300300	GAMMON ROAD STREET RUNOFF SAMPLERS @ MADISON, WI
USGS	430335089300301	GAMMON ROAD ISCO IN 24-INCH PIPE AT MADISON, WI
USGS	430338089295701	DETENTION POND OUTLET AT MEMORIAL HS @ MADISON, WI
USGS	430339089303700	CAMBRIDGE COURT STORM SEWER AT MADISON, WI
USGS	430340089295201	DN-07/08E/24-0923
USGS	430340089295202	DN-07/08E/24-0947
USGS	430342089281401	DN-07/09E/19-0071
USGS	430343089184701	DN-07/10E/21-0146
USGS	430343089274301	TRITIUM SITE 4910 MARATHON ST MADISON, WIS.
USGS	430346089240001	DN-07/09E/23-0047
USGS	430347089202001	DN-07/10E/17-0109
USGS	430347089273001	SOUTH SEGOE RD STORM SEWER AT MADISON, WI
USGS	430347089360301	BRANDABUR PD IN AT TIMBER RD NEAR CROSS PLAINS, WI
USGS	430349089361801	BRANDABUR POND NEAR CROSS PLAINS, WI
USGS	430350089202201	DN-07/10E/17-0116
USGS	430355089183501	US HWY 51 WISDOT GRASS SWALES UPSTREAM MADISON, WI
USGS	430356089183501	US HWY 51 WISDOT GRASS SWALES FILTER AT MADISON,WI
USGS	430356089183502	US HWY 51 WISDOT GRASS SWALES MIDDLE MADISON, WI
USGS	430356089183503	US 51 WIDOT GRASS SWALES MIDDLE-STREET-MADISON, WI
USGS	430356089183504	US 51 WISDOT GRASS SWALES MIDDLE-SWALE-MADISON, WI
USGS	430356089293601	SOUTH YELLOWSTONE DRIVE STORM SEWER AT MADISON, WI
USGS	430357089183501	US HWY 51 WISDOT GRASS SWALES SUMP A AT MADISON,WI
USGS	430358089183501	US HWY 51 WISDOT GRASS SWALES SUMP B AT MADISON,WI
USGS	430358089281901	SOUTH KENOSHA DRIVE (EAST) STORM SEWR @ MADISON,WI
USGS	430359089183501	US HWY 51 WISDOT GRASS SWALES SUMP C AT MADISON,WI
USGS	430359089360201	DN-07/08E/19-1053
USGS	430401089183501	US HWY 51 WISDOT GRASS SWALES SUMP D AT MADISON,WI
USGS	430401089304501	GRAY FOX TRAIL STORM SEWER AT MADISON, WI
USGS	430402089183501	US HWY 51 WISDOT GRASS SWALES DOWNSTRM MADISON, WI
USGS	430402089183502	US HWY 51 WISDOT GRASS SWALES CHANNEL MADISON, WI
